Comment,Designator,Footprint,LCSC Part Number
PIC18F45K50-I/MV,PIC18F45K50,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,C638925
16MHz,X1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C13738
LED_TEST,"D3, D4, D6",LED_1206_3216Metric,C2297
,,,
D_Schottky,"D2,D5",D_0603_1608Metric,C8598
,,,
100uF,C6,C_1206_3216Metric,C15008
22pF,"C1,C2",C_1206_3216Metric,C1804
100nF,"C3,C5,C4,C8",C_1206_3216Metric,C24497
,,,
330,"R8,R5,R1",R_1206_3216Metric,C17710
470,R4,R_1206_3216Metric,C17710
10k,"R3,R7",R_1206_3216Metric,C17902
